,GEO,Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A),Gender (3),VALUE
168,Alberta,"122 Accounting, insurance and related business administrative occupations",Total - Gender,28880
169,Alberta,"122 Accounting, insurance and related business administrative occupations",Men+,5250
170,Alberta,"122 Accounting, insurance and related business administrative occupations",Women+,23630
171,Alberta,"1220 Accounting, insurance and related business administrative occupations",Total - Gender,28880
172,Alberta,"1220 Accounting, insurance and related business administrative occupations",Men+,5250
173,Alberta,"1220 Accounting, insurance and related business administrative occupations",Women+,23630
174,Alberta,12200 Accounting technicians and bookkeepers,Total - Gender,22320
175,Alberta,12200 Accounting technicians and bookkeepers,Men+,2320
176,Alberta,12200 Accounting technicians and bookkeepers,Women+,20000
177,Alberta,12201 Insurance adjusters and claims examiners,Total - Gender,3120
178,Alberta,12201 Insurance adjusters and claims examiners,Men+,1235
179,Alberta,12201 Insurance adjusters and claims examiners,Women+,1885
180,Alberta,12202 Insurance underwriters,Total - Gender,1755
181,Alberta,12202 Insurance underwriters,Men+,535
182,Alberta,12202 Insurance underwriters,Women+,1215
183,Alberta,"12203 Assessors, business valuators and appraisers",Total - Gender,1690
184,Alberta,"12203 Assessors, business valuators and appraisers",Men+,1160
185,Alberta,"12203 Assessors, business valuators and appraisers",Women+,530
186,Alberta,13 Administrative occupations and transportation logistics occupations,Total - Gender,93420
187,Alberta,13 Administrative occupations and transportation logistics occupations,Men+,12090
188,Alberta,13 Administrative occupations and transportation logistics occupations,Women+,81330
189,Alberta,131 Administrative occupations,Total - Gender,87605
190,Alberta,131 Administrative occupations,Men+,8895
191,Alberta,131 Administrative occupations,Women+,78710
192,Alberta,"1310 Administrative, property and payroll officers",Total - Gender,46135
193,Alberta,"1310 Administrative, property and payroll officers",Men+,6830
194,Alberta,"1310 Administrative, property and payroll officers",Women+,39310
195,Alberta,13100 Administrative officers,Total - Gender,34785
196,Alberta,13100 Administrative officers,Men+,4070
197,Alberta,13100 Administrative officers,Women+,30715
198,Alberta,13101 Property administrators,Total - Gender,5885
199,Alberta,13101 Property administrators,Men+,2315
200,Alberta,13101 Property administrators,Women+,3570
201,Alberta,13102 Payroll administrators,Total - Gender,5470
202,Alberta,13102 Payroll administrators,Men+,445
203,Alberta,13102 Payroll administrators,Women+,5025
204,Alberta,"1311 Office administrative assistants - general, legal and medical",Total - Gender,41465
205,Alberta,"1311 Office administrative assistants - general, legal and medical",Men+,2065
206,Alberta,"1311 Office administrative assistants - general, legal and medical",Women+,39400
207,Alberta,13110 Administrative assistants,Total - Gender,30430
208,Alberta,13110 Administrative assistants,Men+,1535
209,Alberta,13110 Administrative assistants,Women+,28900
210,Alberta,13111 Legal administrative assistants,Total - Gender,6300
211,Alberta,13111 Legal administrative assistants,Men+,355
212,Alberta,13111 Legal administrative assistants,Women+,5945
213,Alberta,13112 Medical administrative assistants,Total - Gender,4735
214,Alberta,13112 Medical administrative assistants,Men+,185
215,Alberta,13112 Medical administrative assistants,Women+,4555
216,Alberta,132 Transportation and production logistics coordinators and customs brokers and related broker occupations,Total - Gender,5820
217,Alberta,132 Transportation and production logistics coordinators and customs brokers and related broker occupations,Men+,3195
218,Alberta,132 Transportation and production logistics coordinators and customs brokers and related broker occupations,Women+,2620
219,Alberta,1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,Total - Gender,5820
220,Alberta,1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,Men+,3195
221,Alberta,1320 Transportation and production logistics coordinators and customs brokers and related broker occupations,Women+,2620
222,Alberta,"13200 Customs, ship and other brokers",Total - Gender,180
223,Alberta,"13200 Customs, ship and other brokers",Men+,35
224,Alberta,"13200 Customs, ship and other brokers",Women+,150
225,Alberta,13201 Production and transportation logistics coordinators,Total - Gender,5635
226,Alberta,13201 Production and transportation logistics coordinators,Men+,3160
227,Alberta,13201 Production and transportation logistics coordinators,Women+,2480
228,Alberta,14 Administrative and financial support and supply chain logistics occupations,Total - Gender,119955
229,Alberta,14 Administrative and financial support and supply chain logistics occupations,Men+,32780
230,Alberta,14 Administrative and financial support and supply chain logistics occupations,Women+,87175
231,Alberta,"141 Office, court, and data support occupations",Total - Gender,57965
232,Alberta,"141 Office, court, and data support occupations",Men+,6935
233,Alberta,"141 Office, court, and data support occupations",Women+,51025
234,Alberta,1410 Office support and court services occupations,Total - Gender,49455
235,Alberta,1410 Office support and court services occupations,Men+,4955
236,Alberta,1410 Office support and court services occupations,Women+,44495
237,Alberta,14100 General office support workers,Total - Gender,25725
238,Alberta,14100 General office support workers,Men+,3585
239,Alberta,14100 General office support workers,Women+,22145
240,Alberta,14101 Receptionists,Total - Gender,22080
241,Alberta,14101 Receptionists,Men+,1125
242,Alberta,14101 Receptionists,Women+,20955
243,Alberta,14102 Personnel clerks,Total - Gender,975
244,Alberta,14102 Personnel clerks,Men+,165
245,Alberta,14102 Personnel clerks,Women+,805
246,Alberta,14103 Court clerks and related court services occupations,Total - Gender,675
247,Alberta,14103 Court clerks and related court services occupations,Men+,85
248,Alberta,14103 Court clerks and related court services occupations,Women+,590
249,Alberta,"1411 Survey, statistical and data entry occupations",Total - Gender,8510
250,Alberta,"1411 Survey, statistical and data entry occupations",Men+,1985
251,Alberta,"1411 Survey, statistical and data entry occupations",Women+,6530
252,Alberta,14110 Survey interviewers and statistical clerks,Total - Gender,2030
253,Alberta,14110 Survey interviewers and statistical clerks,Men+,735
254,Alberta,14110 Survey interviewers and statistical clerks,Women+,1300
255,Alberta,14111 Data entry clerks,Total - Gender,6375
256,Alberta,14111 Data entry clerks,Men+,1220
257,Alberta,14111 Data entry clerks,Women+,5160
258,Alberta,14112 Desktop publishing operators and related occupations,Total - Gender,105
259,Alberta,14112 Desktop publishing operators and related occupations,Men+,35
260,Alberta,14112 Desktop publishing operators and related occupations,Women+,70
261,Alberta,"142 Financial, insurance and related administrative support workers",Total - Gender,24555
262,Alberta,"142 Financial, insurance and related administrative support workers",Men+,4065
263,Alberta,"142 Financial, insurance and related administrative support workers",Women+,20490
264,Alberta,"1420 Financial, insurance and related administrative support workers",Total - Gender,24555
265,Alberta,"1420 Financial, insurance and related administrative support workers",Men+,4065
266,Alberta,"1420 Financial, insurance and related administrative support workers",Women+,20490
267,Alberta,14200 Accounting and related clerks,Total - Gender,22265
268,Alberta,14200 Accounting and related clerks,Men+,3665
269,Alberta,14200 Accounting and related clerks,Women+,18605
270,Alberta,"14201 Banking, insurance and other financial clerks",Total - Gender,1415
271,Alberta,"14201 Banking, insurance and other financial clerks",Men+,255
272,Alberta,"14201 Banking, insurance and other financial clerks",Women+,1160
273,Alberta,14202 Collection clerks,Total - Gender,875
274,Alberta,14202 Collection clerks,Men+,145
275,Alberta,14202 Collection clerks,Women+,725
276,Alberta,"143 Library, correspondence and other clerks",Total - Gender,5035
277,Alberta,"143 Library, correspondence and other clerks",Men+,910
278,Alberta,"143 Library, correspondence and other clerks",Women+,4120
279,Alberta,"1430 Library, correspondence and other clerks",Total - Gender,5035
280,Alberta,"1430 Library, correspondence and other clerks",Men+,910
